TranscriptIdentifier,Cont_t_0_d_FALSE_mean,Cold_t_1_d_FALSE_mean,Cold_t_15_d_FALSE_mean,Cold_t_180_d_FALSE_mean,Cold_t_2880_d_FALSE_mean,Cold_t_5760_d_FALSE_mean,Cold_t_1_d_TRUE_mean,Cold_t_15_d_TRUE_mean,Cold_t_180_d_TRUE_mean,Cold_t_2880_d_TRUE_mean,Cold_t_5760_d_TRUE_mean,TrivialName
AT1G01010,15.7977501530898,15.3343616150989,15.4560021814241,15.7443808652681,19.398629707724,20.2604685214404,19.3907802408304,19.0486508851355,17.6382895216208,16.1898172642668,15.9239296142207,Q0WV96;ANAC001;NAC001
AT1G01020,22.0164351813661,21.7714617255507,23.5037393011308,21.702486916709,22.7408797620968,22.5708361446464,23.7372093623895,22.9468868141015,23.4575662860267,22.9562363229464,22.8522662674925,ARV1;F4HQG4;Q5MK24
AT1G01030,21.8894948769297,20.9417637750642,20.7375465667645,21.6093325607708,19.8189369602104,19.6746182041322,21.7503588331292,19.8681245205399,20.6462433178656,20.2017915534627,20.0213136236378,Q9MAN1;NGA3
AT1G01040,8.36064650937597,8.3783561426777,7.96339864605044,8.18704225148844,8.34526019043468,7.90421494024597,8.02672687371348,7.68384976588216,7.33099278183495,8.59655906513967,8.62973587978519,Q9SP32;SUS1;F4HQG6;DCL1;CAF;SIN1;ATDCL1;EMB60;ASU1;EMB76
AT1G01050,32.7086404159637,35.0126732404887,34.4425873896984,33.0182997712201,35.416690664858,35.3392298653529,36.1037562513046,35.9745318817557,34.1686824069897,34.315995216176,34.3017843193829,Q93V56;AtPPa1;PPa1
AT1G01060,21.6814672630196,22.2764865412409,21.6045050731391,20.5593353290416,19.8650428161941,19.89452399708,20.1122292691449,19.875157047929,13.9956545333171,21.7157543786376,22.1567715463415,LHY;LHY1;F4HQH3;F4HQG9;Q6R0H1
AT1G01070,16.1240922057258,15.8625682153568,16.4239807835806,15.973823431058,16.1699478317881,17.4510272269712,17.3137556313749,16.2612730784165,14.7953987108037,15.4143703736663,17.887903212833,Q5XEZ0
AT1G01080,32.7540684642714,33.3645632421845,32.669616691877,32.5946043644873,31.8706860887822,33.2625219288718,34.2459682261944,33.5520706800404,34.1140893922761,32.9116418579301,33.4760255722626,Q8W592;A0A1P8APK3;F4HQH8
AT1G01090,37.8076886015665,40.6038168656122,39.0720931855538,37.9521794920809,38.2482114816861,37.4365931264673,38.2767834237721,37.6918763102397,37.7930049353544,38.8754342141818,39.1953392146291,PDH-E1 ALPHA;O24457
AT1G01100,78.0845296270414,78.7609961594125,81.7098427685241,77.446365855859,83.2167238194593,84.6639747210938,87.1396773364093,83.9080931606198,84.4422199313304,75.2034742761965,76.0466862277661,Q8LCW9;A8MQK8
AT1G01110,15.4269705733326,14.3889544367175,12.4875314276859,13.9406064794691,10.329936869224,10.3454590343685,8.99785407638827,10.1869633580729,10.8443175693548,14.8550131139783,13.8477208452837,IQD18;Q9MAM4;B3H705
AT1G01120,42.2936795109024,42.2983800300172,41.4924153467365,41.4891624281479,37.5687778148414,35.8688623013838,33.8085855651771,34.8782970280951,41.9663266205604,42.9717988198828,42.0390334823083,KCS1;Q9MAM3
AT1G01130,18.7981623017879,19.0901096178807,19.2707270476341,20.7800137263828,20.9373606949873,21.8604478104971,21.4659094995917,18.8224138809538,20.1698043936257,17.6127585936574,16.7185635149403,F4HQI8
AT1G01140,20.0079836308465,20.565388356811,21.0647592335625,23.5157961605671,19.4242824962593,19.242016458872,19.5761061194692,19.1895325013875,18.5590279833449,21.08941170605,21.8115216503604,Q9MAM1;SnRK3.12;PKS6;CIPK9
AT1G01160,33.4244336722157,33.2859965789213,33.5309142221891,31.1599011531832,31.428112152702,31.2598478688197,31.9429351625695,31.4567548303591,32.4871781382971,32.8276072947918,33.0406454804526,GIF2;F4HQJ3;Q9MAL9
AT1G01170,82.6344487897347,85.7950005091832,84.9862458478965,81.5709010272771,76.4043942471722,81.159734602284,83.1997714080815,81.4886511368853,81.9629996143448,88.1255554644839,86.9469643291917,Q2HIQ2
AT1G01180,37.8076453769383,37.9898761204604,35.871592719333,30.2532209379633,26.5471189332486,26.6651289751914,29.0853127413027,29.1088307763416,34.2414964432164,39.744683259768,38.9481080214229,F4HS78
AT1G01190,24.0435143196063,20.2913640093713,19.4169558704677,21.7782929947866,15.303199092711,15.5798677435964,16.6976974447266,13.4767298639866,16.3592778395751,16.5301989565201,16.5265155745726,CYP78A8;F4HS79
AT1G01200,18.0486344222817,16.3109827693912,15.0270366761347,16.6963863235212,17.6540004845744,18.3555353984421,16.8501537936018,16.8702032346695,17.429676478749,14.8081526426072,12.229779663194,ATRABA3;Q9LNK1;RABA3;ATRAB-A3
AT1G01210,55.0678988806661,57.3441507408799,57.0244646584228,56.9783198080345,70.0075269879728,69.0013634610744,69.9790649161303,70.5558611173557,65.5093451070514,55.0046883133362,55.1540426260188,Q9LNK0
AT1G01220,13.835942142155,14.4521179259013,13.9418273106932,13.7873746543295,13.9079739217172,14.4069998392772,15.0121389729458,14.4707394464543,14.5645953105072,14.4215370677232,14.5651510486562,FKGP;Q9LNJ9;AtFKGP
AT1G01225,27.7073071161611,26.3519203871943,26.8549005255767,23.0288300795787,22.5412817421898,24.2966598152631,23.5223244549643,26.419824771332,24.3028829040565,26.5210424344667,22.1574856573869,Q29PY0
AT1G01230,32.8130843141955,33.0231191438021,33.693208881146,33.1356562821581,34.0152078030508,33.7648694081266,33.3119897673695,32.8576864640928,33.5227210085302,34.1170745087268,34.3755816302652,Q9C5I0
AT1G01240,28.6365709521845,29.812352249559,28.8311158210973,26.6865577328607,19.4899312561821,22.0322716334937,23.0573510894776,21.516590888045,26.2797983109583,32.3744961940444,32.4814684666894,Q9LNJ7
AT1G01250,37.1190624469578,47.8232307773523,43.7985384787453,44.8926305121947,51.8829228796742,48.0387814381927,46.5168153259534,50.5010157699898,41.6605396100466,51.9103726590283,55.8085955774435,Q1ECI2
AT1G01260,21.1472150414358,22.7044725803487,22.2125594659353,22.0523573780118,21.2961199542317,21.811696463866,21.5985113925707,21.1216193167643,21.3713570491279,22.3334421225984,22.5111827635367,Q9LNJ5
AT1G01290,20.8708727411026,20.3646953639269,21.5377950428256,21.0353868860099,19.9034408101547,20.9298518114766,20.450650613274,20.2907589050928,21.4497502809342,22.3301903997198,21.5478814886483,Q39056;CNX3
AT1G01300,31.96450567622,30.2341350851981,30.6445034669963,36.6278684696682,34.1200883424435,35.3498118996255,36.0874914153205,34.862628205718,33.347126745895,29.9991144112166,29.433500823416,Q9LNJ3
AT1G01320,10.2933870970725,10.594586082247,10.3265680030546,10.0844409156994,10.2589149428643,10.4803028055926,10.6739640744005,10.4168954546518,10.7043616613262,10.4670816887437,10.693333562603,F4HS98;F4HS99
AT1G01340,13.5411084391176,11.1640721573835,12.4149615674235,11.3221235394589,12.1610294981237,12.7116943560962,13.0424005054319,12.3897641640283,10.9096025262276,12.7454883654141,14.3943515107466,ACBK1;Q9LNJ0;CNGC10;ATCNGC10
AT1G01350,26.321277548673,24.3700566338098,26.9322012642154,25.6377640159389,28.0335205573953,27.7357358351789,28.1382869317402,27.586940896334,26.1004928950774,26.9493354622165,26.5403528791236,Q8GX84
AT1G01360,36.8464318974294,37.8015230381531,36.3708514541496,36.9938895622523,28.0079547886798,30.2555731236993,30.4235298623979,33.5361510791504,34.0666524709424,41.0576389115564,40.0440505554838,PYL9;RCAR1;Q84MC7
AT1G01370,13.5947998409901,13.947188721525,14.643527898432,12.7003801332735,15.7488145050169,16.6954858209215,16.9118404547419,17.1462873809551,15.3393457483868,13.1492040264438,12.1699370466888,CENH3;HTR12;Q8RVQ9
