TranscriptIdentifier,Cont_t_0_d_FALSE_mean,Cont_t_180_d_FALSE_mean,Cont_t_2880_d_FALSE_mean,Cont_t_5760_d_FALSE_mean,Cont_t_180_d_TRUE_mean,Cont_t_2880_d_TRUE_mean,Cont_t_5760_d_TRUE_mean,TrivialName
AT1G01010,15.7977501530898,16.7148085824323,15.9846474112823,14.8148401884411,16.1348667924812,15.6301171376184,19.5627400867173,Q0WV96;ANAC001;NAC001
AT1G01020,22.0164351813661,22.357702786734,22.6650920020228,21.6516969687311,22.8367021794159,22.3994516882418,21.8754454186268,ARV1;F4HQG4;Q5MK24
AT1G01030,21.8894948769297,23.2818080827539,19.9962602140022,20.9013300762145,19.2954716638733,21.3569583805096,18.5382529761218,Q9MAN1;NGA3
AT1G01040,8.36064650937597,8.4962392080436,8.3027304710742,8.68905107442504,8.42904298575994,8.24464844751132,8.51618424881599,Q9SP32;SUS1;F4HQG6;DCL1;CAF;SIN1;ATDCL1;EMB60;ASU1;EMB76
AT1G01050,32.7086404159637,31.3110711868147,34.3181774346135,32.850054011524,31.8160574455979,34.3552862420645,32.7229419476286,Q93V56;AtPPa1;PPa1
AT1G01060,21.6814672630196,14.9960395990465,22.0463988603376,21.9806534550316,15.9158698747435,22.5056780601138,21.6690665452905,LHY;LHY1;F4HQH3;F4HQG9;Q6R0H1
AT1G01070,16.1240922057258,13.6360041784296,15.5244452573119,16.7187650473803,14.3172290263545,15.0000740855567,16.5057400996742,Q5XEZ0
AT1G01080,32.7540684642714,33.5351886523608,34.2017543999359,32.4619685687117,32.6674903130573,33.714229155757,30.3967769810199,Q8W592;A0A1P8APK3;F4HQH8
AT1G01090,37.8076886015665,38.7565135075691,38.9037829350887,38.8583540025135,37.1609488221229,38.0369198822396,35.4683634868275,PDH-E1 ALPHA;O24457
AT1G01100,78.0845296270414,75.9878453799604,78.9870874495831,76.2762709150881,76.4602614753128,77.575937022062,71.9751761598372,Q8LCW9;A8MQK8
AT1G01110,15.4269705733326,14.810531992632,13.7949696837094,15.2602009202282,13.9246110674838,15.5113852081239,14.0271413369335,IQD18;Q9MAM4;B3H705
AT1G01120,42.2936795109024,39.6539057366227,41.0679142189477,41.4305669473137,37.8776649192928,41.8625978091593,39.5959830715849,KCS1;Q9MAM3
AT1G01130,18.7981623017879,16.6798074804513,16.8168813366269,17.6285716408103,17.088270373318,16.7964450725723,14.8144428988343,F4HQI8
AT1G01140,20.0079836308465,20.3321593978827,20.6691948715068,20.9053994298326,21.9531402827389,21.04764335734,23.2818168183913,Q9MAM1;SnRK3.12;PKS6;CIPK9
AT1G01160,33.4244336722157,32.5147842782385,31.7502171092905,31.9620364560111,33.2228551927449,32.3424889262158,32.40605764216,GIF2;F4HQJ3;Q9MAL9
AT1G01170,82.6344487897347,81.6753963424891,84.7393130063365,81.0335648896312,83.6771016301128,84.8228433329092,85.88698216854,Q2HIQ2
AT1G01180,37.8076453769383,35.0092088356954,37.4993834445101,37.4225648114604,37.7055364774331,38.1106213574949,40.3876515348365,F4HS78
AT1G01190,24.0435143196063,22.6654780131054,21.0551470632494,20.5099260225133,18.6282560969039,20.7540610302974,10.1981796804888,CYP78A8;F4HS79
AT1G01200,18.0486344222817,12.4840923973629,17.004951616868,16.633528350453,12.31329853206,16.0650144072753,13.9767133039706,ATRABA3;Q9LNK1;RABA3;ATRAB-A3
AT1G01210,55.0678988806661,56.449601950824,60.7789936410896,57.6462159420423,56.8898573742276,55.9571946795855,57.703205674573,Q9LNK0
