TranscriptIdentifier,Cont_t_0_d_FALSE_mean,Heat_t_1_d_FALSE_mean,Heat_t_15_d_FALSE_mean,Heat_t_180_d_FALSE_mean,Heat_t_2880_d_FALSE_mean,Heat_t_5760_d_FALSE_mean,Heat_t_1_d_TRUE_mean,Heat_t_15_d_TRUE_mean,Heat_t_180_d_TRUE_mean,Heat_t_2880_d_TRUE_mean,Heat_t_5760_d_TRUE_mean,TrivialName
AT1G01010,15.7977501530898,15.3485306432009,14.7555918864702,16.6785714074572,19.7568013838165,19.9094958680759,21.0829808635194,19.8185677066512,20.2075015672075,21.3269153039589,20.2628997788335,Q0WV96;ANAC001;NAC001
AT1G01020,22.0164351813661,23.4937631481179,22.1389502693194,23.2787347724306,23.6083893858685,23.6576750543955,22.837906320712,22.7351975180669,21.900550504826,21.742341579742,20.9039578198537,ARV1;F4HQG4;Q5MK24
AT1G01030,21.8894948769297,23.1747617729676,21.2183747525036,22.6847524825117,21.4686410599765,20.7474261844275,20.9972543264078,20.7119688110502,20.5633548130786,20.2851524886305,20.1317238345977,Q9MAN1;NGA3
AT1G01040,8.36064650937597,8.29411477205031,8.44245543331451,8.18247564301694,8.28094360987475,8.36729895867434,8.29754311417758,7.79614732329515,8.14762828275154,8.0971813379128,8.47894572016269,Q9SP32;SUS1;F4HQG6;DCL1;CAF;SIN1;ATDCL1;EMB60;ASU1;EMB76
AT1G01050,32.7086404159637,33.4106706281651,32.3834250203191,31.6031323402487,32.1604546826625,32.214575777544,31.2289540635963,32.663030442573,31.8048164754279,32.7790161339564,31.9816044703191,Q93V56;AtPPa1;PPa1
AT1G01060,21.6814672630196,21.4722507185789,20.0835625536959,8.83012581626457,15.7957640747385,15.5652340612656,15.4172816206136,15.1873903615451,14.2539382333193,21.8163189534692,21.4805959654975,LHY;LHY1;F4HQH3;F4HQG9;Q6R0H1
AT1G01070,16.1240922057258,15.7519937255945,15.3812024902289,14.7015157217695,12.5646292815172,13.1137144971836,15.5415538820796,11.6379622539061,12.6122555542217,18.2089175402099,17.825069692458,Q5XEZ0
AT1G01080,32.7540684642714,34.0868214376352,32.1524180318966,32.1592929962524,30.9429790315,30.4047254590218,29.9027269569973,31.4368497679758,31.2912622381584,30.2903053725829,29.46777861588,Q8W592;A0A1P8APK3;F4HQH8
AT1G01090,37.8076886015665,39.3760160646932,38.6325557470751,37.7807220159783,35.0815499731276,35.4285468987646,34.2888423406584,35.1093002774458,35.3530618605245,34.975242293211,35.5431033485328,PDH-E1 ALPHA;O24457
AT1G01100,78.0845296270414,80.8021090677641,76.554098792684,75.7052210457646,70.55115846522,69.5040940465944,66.7667904727894,72.2788460611113,69.1942100526229,69.448416132122,67.8160536672834,Q8LCW9;A8MQK8
AT1G01110,15.4269705733326,15.5311979133562,15.0592975674882,16.8392667840124,15.9289961638746,15.4952871288481,16.310064728253,15.3960048842346,13.3166992202552,14.0571361795517,13.9951365657493,IQD18;Q9MAM4;B3H705
AT1G01120,42.2936795109024,42.6675637902179,41.3885872786398,41.1201673882801,36.6778569041636,35.8122431056005,34.3005107732485,37.4047584854335,36.7897506064888,39.2892199528879,39.7195749422494,KCS1;Q9MAM3
AT1G01130,18.7981623017879,17.2499604689791,18.4464762259648,16.1624299545415,13.7620872378056,15.4874207779751,17.2878726238803,15.2203667627626,15.7888658078665,16.7397907003609,16.177339142545,F4HQI8
AT1G01140,20.0079836308465,20.1718747509755,21.0462747625543,21.4504354538694,19.7462424519759,19.8319791230475,19.0941047305094,20.233586179604,19.1557768562423,20.9768791436827,21.5872611730414,Q9MAM1;SnRK3.12;PKS6;CIPK9
AT1G01160,33.4244336722157,31.9381925924508,32.476800954786,34.0522593999984,33.8146891556761,33.8415106300514,33.4663435777182,32.9448654753089,32.303596670588,33.3261021744187,32.3198141059406,GIF2;F4HQJ3;Q9MAL9
AT1G01170,82.6344487897347,83.9589636742889,82.9340015666913,87.0209803266337,84.4318613939238,84.6704258656886,80.0104716077025,86.515232345617,80.9968502657847,80.2158886089101,82.2186498357369,Q2HIQ2
AT1G01180,37.8076453769383,38.6865789099362,37.6286829426955,36.3929543557632,33.9502026590308,34.0744076369312,30.5929134602975,35.9853854563627,30.5130212273725,37.2635226581824,38.9499914438016,F4HS78
